,Manufacturer,Category,RAM,Operating System,Operating System Version,Weight,TouchScreen,IPS,ppi,CPU Brand,HDD,SDD,GPU Brand,Price (Rupees)
19,Dell,Ultrabook,8,windows,10,1.22  ,1,1,165.6321180513006,Intel Core i5,0,128,Intel,86563.18000000001
20,Asus,Netbook,2,windows,10,0.98  ,0,0,135.0942111925629,Other Intel Processor,0,0,Intel,16967.798000000003
21,Lenovo,Gaming,8,windows,10,2.5  ,0,1,141.21199808219862,Intel Core i5,1000,128,Nvidia,88331.58
22,HP,Notebook,4,Other OS/No OS/Linux,0,1.86  ,0,0,100.45466986113651,AMD Processor,500,0,AMD,22812.36
23,Dell,2 in 1 Convertible,8,windows,10,1.62  ,1,0,165.6321180513006,Intel Core i5,0,256,Intel,72415.98
24,HP,Ultrabook,8,windows,10,1.91  ,0,0,141.21199808219862,Intel Core i7,0,256,Intel,58268.78
25,Dell,Notebook,4,windows,10,2.3  ,0,0,100.45466986113651,Intel Core i3,1000,0,Intel,37016.1488
26,Apple,Ultrabook,8,mac,0,1.35  ,0,0,127.67794013309688,Intel Core i5,0,0,Intel,97173.58
27,Dell,Notebook,8,windows,10,2.2  ,0,0,141.21199808219862,Intel Core i5,0,256,AMD,70736.0
28,Dell,Ultrabook,8,windows,10,1.88  ,0,0,141.21199808219862,Intel Core i7,0,512,Intel,114769.16
29,HP,Notebook,8,windows,10,2.5  ,0,0,127.33567457123111,Intel Core i5,1000,0,Nvidia,79224.32
30,Chuwi,Notebook,4,windows,10,1.89  ,0,0,141.21199808219862,Other Intel Processor,0,0,Intel,21662.0158
31,Asus,Notebook,2,windows,10,1.65  ,0,0,111.93520355955211,AMD Processor,0,0,AMD,17595.58
32,HP,Notebook,4,windows,10,2.71  ,0,0,127.33567457123111,AMD Processor,500,0,AMD,38816.38
33,Dell,Ultrabook,16,windows,10,1.2  ,1,0,276.053530085501,Intel Core i7,0,512,Intel,165256.98
34,Apple,Ultrabook,8,mac,0,1.35  ,0,0,127.67794013309688,Intel Core i5,0,0,Intel,88243.16
35,Lenovo,Notebook,4,windows,10,1.44  ,0,0,111.93520355955211,Other Intel Processor,0,0,Intel,22016.58
36,Acer,Notebook,4,Other OS/No OS/Linux,0,2.1  ,0,0,100.45466986113651,Intel Core i3,1000,0,Intel,32450.14
37,Dell,Notebook,8,windows,10,2.8  ,0,1,127.33567457123111,Intel Core i5,1000,128,AMD,86563.18000000001
38,HP,Notebook,4,windows,10,1.86  ,0,0,100.45466986113651,Intel Core i5,1000,0,Intel,43209.9698
39,HP,Notebook,8,windows,10,2.1  ,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,77721.18000000001
40,Asus,Notebook,4,Other OS/No OS/Linux,0,2  ,0,0,141.21199808219862,Intel Core i3,1000,0,Intel,34395.38
41,Dell,Gaming,16,windows,10,2.65  ,0,1,141.21199808219862,Intel Core i7,1000,256,Nvidia,132541.58000000002
42,Asus,Notebook,8,Other OS/No OS/Linux,0,2.3  ,0,0,100.45466986113651,Intel Core i5,1000,0,Nvidia,46242.7758
43,Acer,Notebook,4,windows,10,2.2  ,0,1,141.21199808219862,Intel Core i5,0,256,Intel,60302.44
44,Dell,2 in 1 Convertible,12,windows,10,2.77  ,1,0,127.33567457123111,Intel Core i5,1000,0,Nvidia,88331.58
45,Apple,Ultrabook,8,mac,0,1.37  ,0,1,226.98300468106115,Intel Core i5,0,256,Intel,125467.98
46,Lenovo,Notebook,4,Other OS/No OS/Linux,0,2.2  ,0,0,100.45466986113651,Intel Core i3,0,128,Intel,32626.98
47,Asus,Gaming,8,windows,10,3.2  ,0,0,127.33567457123111,AMD Processor,1000,256,AMD,114857.58
48,Dell,Notebook,4,windows,10,2.3  ,0,0,141.21199808219862,Intel Core i5,0,256,AMD,56500.380000000005
49,Asus,Notebook,4,windows,10,2.8  ,0,0,90.58340172449303,Other Intel Processor,1000,0,Nvidia,41203.72
50,Lenovo,2 in 1 Convertible,4,Other OS/No OS/Linux,0,0.69  ,1,1,224.17380907857276,Other Intel Processor,0,0,Intel,28205.98
51,Acer,Notebook,8,windows,10,2.2  ,0,1,141.21199808219862,Intel Core i7,0,256,Nvidia,74361.22
52,HP,Notebook,4,windows,10,1.86  ,0,0,141.21199808219862,AMD Processor,0,256,AMD,35234.4858
53,HP,Notebook,8,windows,10,1.49  ,0,0,165.6321180513006,Intel Core i7,0,512,Intel,97527.26
54,Acer,Notebook,4,windows,10,2.4  ,0,0,100.45466986113651,Intel Core i3,1000,0,Intel,33953.28
55,Dell,Notebook,8,windows,10,2.13  ,0,0,141.21199808219862,Intel Core i7,0,256,AMD,67888.876
56,HP,Notebook,4,windows,10,1.91  ,0,0,141.21199808219862,Intel Core i3,0,128,Intel,38816.38
57,Asus,Notebook,4,windows,10,2  ,0,0,100.45466986113651,Intel Core i5,0,256,Intel,51830.9198
58,MSI,Gaming,16,windows,10,2.43  ,0,0,127.33567457123111,Intel Core i7,2000,256,Nvidia,216540.58000000002
59,Asus,Notebook,4,Other OS/No OS/Linux,0,2  ,0,0,141.21199808219862,Intel Core i3,0,256,Intel,36694.3
60,Dell,Notebook,16,windows,10,2.8  ,0,0,127.33567457123111,Intel Core i7,2000,256,AMD,114857.58
61,Dell,Ultrabook,8,windows,10,1.7  ,0,0,157.3505121487356,Intel Core i5,0,256,Intel,77721.18000000001
62,Lenovo,Notebook,8,Other OS/No OS/Linux,0,1.7  ,0,1,157.3505121487356,Intel Core i3,0,256,Intel,52963.58
63,Asus,Notebook,8,windows,10,1.4  ,0,0,157.3505121487356,Intel Core i5,0,256,Intel,83203.22
64,HP,Notebook,8,windows,10,1.86  ,0,0,141.21199808219862,Intel Core i5,0,256,Intel,61009.8
65,Asus,Ultrabook,16,windows,10,1.8  ,0,0,141.21199808219862,Intel Core i7,0,512,Nvidia,175336.86000000002
66,HP,Notebook,4,windows,10,1.86  ,0,0,100.45466986113651,Intel Core i3,500,0,AMD,38788.9698
67,HP,Notebook,4,windows,10,1.44  ,0,0,111.93520355955211,Other Intel Processor,0,32,Intel,20248.18
68,Lenovo,Notebook,4,windows,10,1.9  ,0,0,141.21199808219862,Intel Core i5,1000,0,Intel,48542.58
69,Asus,Gaming,12,Other OS/No OS/Linux,0,3  ,0,0,127.33567457123111,Intel Core i7,1000,0,Nvidia,83910.58
70,Microsoft,Ultrabook,4,windows,0,1.252  ,1,0,200.84255993695703,Intel Core i5,0,128,Intel,96289.38
71,Dell,Ultrabook,8,windows,10,1.4  ,0,1,165.6321180513006,Intel Core i7,0,256,AMD,84441.1
72,Dell,Notebook,8,windows,10,2.2  ,0,0,141.21199808219862,Intel Core i7,0,256,AMD,76925.40000000001
73,MSI,Gaming,8,windows,10,2.7  ,0,0,127.33567457123111,Intel Core i5,1000,128,Nvidia,96819.90000000001
74,Acer,Notebook,8,windows,10,2.1  ,0,0,111.93520355955211,Intel Core i3,1000,0,Intel,34395.38
75,Asus,Gaming,8,windows,10,2.2  ,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia,83910.58
76,Lenovo,Notebook,8,Other OS/No OS/Linux,0,2.2  ,0,0,141.21199808219862,Intel Core i5,2000,0,Intel,45889.98
77,Dell,Notebook,8,windows,10,2.02  ,0,0,141.21199808219862,Intel Core i7,1000,128,Intel,75599.1
78,Acer,Notebook,4,windows,10,2.2  ,0,0,141.21199808219862,Intel Core i3,1000,0,Nvidia,46862.6
79,HP,Notebook,8,windows,10,2.5  ,0,0,127.33567457123111,Intel Core i5,1000,128,Nvidia,86386.34
80,Dell,Ultrabook,8,windows,10,1.88  ,0,1,141.21199808219862,Intel Core i5,0,256,Intel,96922.46720000001
81,Apple,Ultrabook,8,mac,0,0.92  ,0,1,226.41554716935852,Intel Core i5,0,512,Intel,133514.2
82,HP,Notebook,8,windows,10,1.63  ,0,0,157.3505121487356,Intel Core i5,0,256,Intel,76041.2
83,Lenovo,Notebook,4,windows,10,2.2  ,0,0,141.21199808219862,AMD Processor,0,128,AMD,35279.58
84,Acer,Notebook,4,windows,10,2.1  ,0,0,100.45466986113651,AMD Processor,1000,0,AMD,34925.9
85,Dell,Gaming,16,windows,10,2.65  ,0,1,141.21199808219862,Intel Core i7,1000,128,Nvidia,119278.58
86,HP,Ultrabook,8,windows,10,1.83  ,0,1,141.21199808219862,Intel Core i7,0,256,Nvidia,61805.58
87,HP,Notebook,8,windows,10,1.96  ,0,0,141.21199808219862,Intel Core i5,0,256,Intel,52962.6958
88,Asus,Gaming,16,windows,10,2.2  ,0,1,141.21199808219862,Intel Core i7,1000,128,Nvidia,128120.58
89,Dell,Ultrabook,8,windows,10,1.21  ,0,1,165.6321180513006,Intel Core i7,0,256,Intel,145804.58000000002
90,Asus,Gaming,8,windows,10,2.45  ,0,0,141.21199808219862,AMD Processor,1000,0,AMD,61805.58
91,Acer,Notebook,8,windows,10,2.2  ,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia,60921.380000000005
92,HP,Notebook,16,windows,10,1.49  ,0,0,165.6321180513006,Intel Core i7,0,512,Intel,105838.74
93,Dell,Gaming,8,windows,10,2.65  ,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,105661.90000000001
94,Asus,Ultrabook,8,windows,10,1.25  ,0,0,157.3505121487356,Intel Core i7,0,256,Intel,92752.58
95,Acer,2 in 1 Convertible,8,windows,10,1.5  ,1,1,165.6321180513006,Intel Core i5,0,256,Intel,74891.74
96,Dell,Notebook,8,Other OS/No OS/Linux,0,2.2  ,0,0,141.21199808219862,Intel Core i7,1000,0,AMD,53043.157999999996
97,Dell,Notebook,4,Other OS/No OS/Linux,0,2.2  ,0,0,141.21199808219862,Intel Core i3,0,256,AMD,42883.700000000004
98,Asus,Notebook,6,windows,10,2  ,0,0,141.21199808219862,Intel Core i3,0,256,Nvidia,51018.340000000004
99,HP,Gaming,12,windows,10,2.62  ,0,1,141.21199808219862,Intel Core i7,1000,128,Nvidia,110436.58
100,HP,Notebook,8,windows,10,1.91  ,0,0,141.21199808219862,Intel Core i7,0,256,AMD,63573.98
101,HP,Notebook,4,windows,10,2.1  ,0,0,141.21199808219862,AMD Processor,500,0,AMD,30858.58
102,Dell,Notebook,8,Other OS/No OS/Linux,0,2.2  ,0,0,141.21199808219862,Intel Core i5,1000,0,AMD,57207.74
103,HP,Ultrabook,8,windows,10,1.38  ,0,1,165.6321180513006,Intel Core i7,0,256,Nvidia,98941.98
104,Microsoft,Ultrabook,8,windows,0,1.252  ,1,0,200.84255993695703,Intel Core i5,0,256,Intel,118482.8
105,HP,Notebook,6,windows,10,1.58  ,0,1,157.3505121487356,Intel Core i5,0,256,Nvidia,58268.78
106,Lenovo,Notebook,4,windows,10,1.85  ,0,0,141.21199808219862,Intel Core i3,1000,0,Intel,36685.458
107,Asus,Ultrabook,8,windows,10,1.3  ,0,1,157.3505121487356,Intel Core i7,0,256,Nvidia,105485.06
108,MSI,Gaming,16,windows,10,2.2  ,0,0,141.21199808219862,Intel Core i7,1000,256,Nvidia,114857.58
109,Lenovo,Notebook,8,windows,10,1.58  ,0,1,157.3505121487356,Intel Core i7,0,256,Intel,130861.6
110,Asus,Ultrabook,16,windows,10,1.5  ,0,0,141.21199808219862,Intel Core i7,1000,256,Nvidia,111586.04000000001
111,Dell,Ultrabook,8,windows,10,1.23  ,1,0,276.053530085501,Intel Core i7,0,256,Intel,121931.18000000001
112,Lenovo,2 in 1 Convertible,8,windows,10,1.37  ,1,1,165.6321180513006,Intel Core i5,0,256,Intel,123699.58
113,HP,Notebook,4,windows,10,1.63  ,0,1,111.93520355955211,Intel Core i5,500,0,Intel,63839.24
114,Dell,Ultrabook,8,windows,10,1.21  ,0,1,165.6321180513006,Intel Core i5,0,256,Intel,144036.18
115,HP,2 in 1 Convertible,8,windows,10,1.26  ,1,1,165.6321180513006,Intel Core i5,0,256,Intel,123698.6958
116,HP,Notebook,8,windows,10,1.63  ,0,0,157.3505121487356,Intel Core i7,0,512,Intel,95847.28
117,Dell,Notebook,8,windows,10,2.16  ,0,1,141.21199808219862,Intel Core i7,1000,256,Nvidia,99943.77859999999
118,Asus,Notebook,4,windows,10,2  ,0,0,127.33567457123111,Intel Core i3,1000,0,Nvidia,49868.88
119,Asus,Notebook,8,windows,10,1.7  ,0,0,141.21199808219862,Intel Core i7,0,256,Nvidia,98853.56
120,Acer,Notebook,6,windows,10,2.1  ,1,1,141.21199808219862,Intel Core i3,1000,0,Intel,42353.18
121,MSI,Gaming,16,windows,10,1.8  ,0,0,141.21199808219862,Intel Core i7,2000,256,Nvidia,198193.43
122,Lenovo,Notebook,8,Other OS/No OS/Linux,0,2.2  ,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,55616.18
123,HP,Notebook,16,windows,10,2.5  ,0,0,127.33567457123111,Intel Core i7,0,512,Nvidia,112381.82
124,Acer,Notebook,4,windows,10,2.1  ,0,0,100.45466986113651,AMD Processor,0,256,AMD,39877.42
125,HP,Notebook,4,Other OS/No OS/Linux,0,1.86  ,0,0,100.45466986113651,Other Intel Processor,500,0,Intel,22900.78
126,HP,Notebook,8,windows,10,1.63  ,0,0,157.3505121487356,Intel Core i5,1000,0,Intel,71797.04000000001
127,Asus,Notebook,4,windows,0,1.65  ,0,0,111.93520355955211,AMD Processor,0,64,AMD,24579.8758
128,Dell,Notebook,16,windows,10,2.8  ,0,0,127.33567457123111,Intel Core i7,2000,256,AMD,123434.32
129,HP,Notebook,8,windows,10,2.5  ,0,0,127.33567457123111,Intel Core i5,0,256,Intel,82053.76
130,Dell,Notebook,8,windows,10,2.36  ,0,0,100.45466986113651,Intel Core i5,1000,0,AMD,56499.495800000004
131,Dell,Notebook,4,windows,10,2.2  ,0,0,141.21199808219862,Intel Core i3,1000,0,AMD,39700.58
132,Acer,Ultrabook,8,windows,10,1.6  ,0,1,157.3505121487356,Intel Core i7,0,256,Intel,78163.28
133,Acer,Notebook,4,windows,10,2.2  ,0,0,141.21199808219862,Intel Core i3,0,256,Nvidia,50576.24
134,HP,Notebook,8,windows,10,2.05  ,0,0,100.45466986113651,Intel Core i7,1000,0,Intel,52875.16
135,HP,Notebook,8,windows,10,1.63  ,0,0,157.3505121487356,Intel Core i7,0,256,Intel,87358.96
136,Lenovo,Notebook,4,Other OS/No OS/Linux,0,1.9  ,0,0,100.45466986113651,Other Intel Processor,1000,0,Intel,22313.6712
137,Asus,Gaming,8,windows,10,3  ,0,0,127.33567457123111,Intel Core i5,1000,128,Nvidia,82937.96
138,Lenovo,Notebook,4,Other OS/No OS/Linux,0,2.2  ,0,0,141.21199808219862,Intel Core i5,1000,0,Nvidia,44121.58
139,HP,Notebook,4,windows,10,1.32  ,0,1,165.6321180513006,Intel Core i5,0,256,Intel,61805.58
140,Acer,Notebook,4,windows,10,3  ,0,1,127.33567457123111,Intel Core i3,1000,0,Nvidia,57915.1
141,Lenovo,Notebook,8,windows,10,1.75  ,0,1,157.3505121487356,Intel Core i5,0,256,AMD,98678.4884
142,Lenovo,Gaming,8,Other OS/No OS/Linux,0,2.4  ,0,1,141.21199808219862,Intel Core i7,0,256,Nvidia,76836.98
143,Toshiba,Notebook,4,windows,10,2.1  ,0,0,100.45466986113651,Intel Core i5,500,0,Intel,53228.840000000004
144,HP,Notebook,4,windows,10,1.86  ,0,0,100.45466986113651,AMD Processor,0,256,AMD,32626.98
145,Asus,Ultrabook,8,windows,10,1.25  ,0,0,157.3505121487356,Intel Core i7,0,256,Intel,97173.58
146,HP,Ultrabook,8,windows,10,0.97  ,1,1,352.4651472131677,Other Intel Processor,0,512,Intel,178077.88
147,Asus,Notebook,4,windows,10,2  ,0,0,141.21199808219862,Other Intel Processor,1000,0,Intel,30416.48
148,MSI,Gaming,16,windows,10,2.9  ,0,0,127.33567457123111,Intel Core i7,1000,256,Nvidia,179404.18
149,Acer,Notebook,4,windows,10,2.1  ,0,0,100.45466986113651,Intel Core i3,1000,0,Intel,39523.74
150,Dell,Gaming,16,windows,10,2.56  ,0,0,141.21199808219862,Intel Core i7,0,512,Nvidia,110459.5692
151,Dell,Gaming,8,windows,10,2.62  ,0,0,141.21199808219862,Intel Core i7,0,0,Nvidia,79489.58
152,Lenovo,Notebook,4,windows,10,1.9  ,0,0,100.45466986113651,Intel Core i5,0,128,Intel,44033.16
153,MSI,Gaming,16,windows,10,2.8  ,0,0,127.33567457123111,Intel Core i7,1000,256,Nvidia,167113.80000000002
154,HP,Ultrabook,4,windows,10,1.48  ,0,0,157.3505121487356,Intel Core i5,0,256,Intel,95670.44
155,HP,Notebook,6,windows,10,1.91  ,0,0,141.21199808219862,Intel Core i5,0,256,AMD,54731.98
156,Lenovo,2 in 1 Convertible,4,windows,10,1.74  ,1,1,157.3505121487356,Intel Core i3,0,256,Intel,55616.18
157,Asus,2 in 1 Convertible,8,windows,10,1.1  ,1,0,165.6321180513006,Intel Core i5,0,256,Intel,116272.3
158,Dell,2 in 1 Convertible,8,windows,10,1.56  ,1,0,141.21199808219862,Intel Core i7,0,256,Intel,92752.58
159,Toshiba,Notebook,4,windows,10,2.1  ,0,0,100.45466986113651,Intel Core i3,500,0,Intel,39523.74
160,Asus,Notebook,4,windows,10,2.03  ,0,0,100.45466986113651,AMD Processor,1000,0,AMD,35633.26
161,Acer,Notebook,4,windows,10,3  ,0,1,127.33567457123111,Intel Core i5,0,256,Nvidia,71178.1
162,Dell,Notebook,8,windows,10,2.13  ,0,0,141.21199808219862,Intel Core i5,0,256,AMD,64369.76
163,Lenovo,Gaming,16,windows,10,2.5  ,0,1,141.21199808219862,Intel Core i7,0,256,Nvidia,95405.18000000001
164,Acer,Notebook,4,windows,10,2.1  ,0,0,100.45466986113651,Other Intel Processor,1000,0,Intel,30770.16
165,MSI,Gaming,16,windows,10,2.4  ,0,1,141.21199808219862,Intel Core i7,1000,256,Nvidia,159067.58000000002
166,Acer,Notebook,4,windows,10,2.1  ,0,0,100.45466986113651,Other Intel Processor,1000,0,Intel,32141.5542
167,Dell,Gaming,8,windows,10,2.56  ,0,0,141.21199808219862,Intel Core i7,1000,128,Nvidia,93768.5258
168,Acer,Notebook,8,windows,10,3  ,0,1,127.33567457123111,Intel Core i5,0,256,Nvidia,75510.68000000001
169,HP,Notebook,4,windows,10,1.49  ,0,1,165.6321180513006,Intel Core i5,500,0,Intel,66668.68000000001
170,Huawei,Ultrabook,8,windows,10,1.05  ,0,1,199.69207064108247,Intel Core i5,0,256,Intel,119278.58
171,HP,Notebook,6,windows,10,2.71  ,0,1,127.33567457123111,Intel Core i5,2000,0,AMD,61805.58
172,Lenovo,Notebook,4,Other OS/No OS/Linux,0,2.2  ,0,0,100.45466986113651,AMD Processor,500,0,AMD,27321.78
173,Toshiba,Notebook,4,windows,10,2  ,0,0,100.45466986113651,Intel Core i3,500,0,Intel,43237.38
174,HP,Notebook,8,windows,10,2.5  ,0,0,127.33567457123111,Intel Core i5,0,256,Nvidia,81611.66
175,Dell,Notebook,8,windows,10,2.3  ,0,0,100.45466986113651,Intel Core i3,1000,0,Intel,40584.78
176,Acer,Notebook,4,windows,10,2.1  ,0,0,100.45466986113651,Intel Core i3,0,128,Intel,39700.58
177,MSI,Gaming,32,windows,10,4.4  ,0,0,119.7232157653423,Intel Core i7,1000,512,Nvidia,247487.58000000002
178,Lenovo,Notebook,8,windows,10,1.90  ,0,0,141.21199808219862,Intel Core i5,1000,128,AMD,71885.46
179,HP,2 in 1 Convertible,8,windows,10,1.29  ,1,1,331.2642361026012,Intel Core i5,0,256,Intel,132541.58000000002
180,Dell,Notebook,16,Other OS/No OS/Linux,0,2.02  ,0,0,141.21199808219862,Intel Core i7,2000,256,AMD,92752.58
181,Dell,Ultrabook,8,windows,10,1.23  ,0,0,165.6321180513006,Intel Core i5,0,256,Intel,123699.58
182,Lenovo,2 in 1 Convertible,16,windows,10,1.4  ,1,1,316.96506044349616,Intel Core i7,0,512,Intel,163488.58000000002
183,Toshiba,Notebook,8,windows,10,2.0  ,0,0,100.45466986113651,Intel Core i5,0,128,Intel,70117.06
184,Xiaomi,Notebook,8,Other OS/No OS/Linux,0,1.95  ,0,1,141.21199808219862,Intel Core i5,0,256,Nvidia,106015.58
185,Dell,Notebook,16,windows,10,2.77  ,1,0,127.33567457123111,Intel Core i7,0,512,Nvidia,136962.58000000002
186,Dell,Notebook,16,windows,10,2.06  ,1,0,282.42399616439724,Intel Core i7,0,512,Nvidia,211942.74
187,Lenovo,Gaming,8,Other OS/No OS/Linux,0,2.4  ,0,1,141.21199808219862,Intel Core i5,0,256,Nvidia,68879.18000000001
188,Acer,Ultrabook,8,windows,10,1.12  ,0,1,165.6321180513006,Intel Core i5,0,256,Intel,87447.38
189,Dell,Notebook,8,windows,10,2.8  ,0,0,127.33567457123111,Intel Core i7,1000,128,AMD,95935.7
190,Lenovo,2 in 1 Convertible,16,windows,10,1.42  ,1,0,209.8006828649808,Intel Core i7,0,1000,Intel,249698.08000000002
191,Vero,Notebook,4,windows,10,1.3  ,0,1,157.3505121487356,Other Intel Processor,0,0,Intel,22989.2
192,Xiaomi,Ultrabook,8,Other OS/No OS/Linux,0,1.3  ,0,1,165.6321180513006,Intel Core i5,0,256,Nvidia,88411.158
193,Lenovo,Notebook,8,Other OS/No OS/Linux,0,2.8  ,0,0,106.11306214269258,Intel Core i5,0,256,Nvidia,61717.16
194,Dell,2 in 1 Convertible,8,windows,10,1.62  ,1,1,165.6321180513006,Intel Core i7,1000,0,Intel,74184.38
195,HP,Notebook,8,windows,10,2.5  ,0,1,127.33567457123111,Intel Core i5,1000,0,Nvidia,80815.88
196,Razer,Gaming,32,windows,10,3.49  ,1,0,254.67134914246222,Intel Core i7,0,1000,Nvidia,539273.58
197,HP,Notebook,8,windows,10,1.49  ,0,0,165.6321180513006,Intel Core i5,0,512,Intel,84794.78
198,HP,Gaming,16,windows,10,3.35  ,0,1,127.33567457123111,Intel Core i7,1000,256,Nvidia,121931.18000000001
199,HP,Notebook,8,windows,10,2.5  ,0,0,127.33567457123111,Intel Core i7,0,256,Nvidia,92398.90000000001
200,Dell,Gaming,16,windows,10,2.65  ,0,1,282.42399616439724,Intel Core i7,1000,512,Nvidia,163134.9
201,Lenovo,Notebook,4,windows,10,2.1  ,0,0,100.45466986113651,Intel Core i5,0,128,Intel,43591.06
202,Acer,Notebook,8,windows,10,2.23  ,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia,65607.64
203,Lenovo,Gaming,16,windows,10,3.2  ,0,1,141.21199808219862,Intel Core i7,1000,512,Nvidia,154646.58000000002
204,Dell,Workstation,16,windows,10,2.8  ,0,0,282.42399616439724,Other Intel Processor,1000,256,Nvidia,270123.1
205,Lenovo,Gaming,16,Other OS/No OS/Linux,0,2.4  ,0,0,141.21199808219862,Intel Core i7,0,512,Nvidia,123611.16
206,Dell,Notebook,6,windows,10,2.3  ,1,0,100.45466986113651,Intel Core i3,1000,0,Intel,38816.38
207,Dell,Ultrabook,8,windows,10,1.21  ,1,1,331.2642361026012,Intel Core i7,0,256,Intel,172330.58000000002
208,Dell,Ultrabook,8,windows,10,1.2  ,0,0,165.6321180513006,Intel Core i7,0,256,Intel,128120.58
209,Lenovo,Notebook,8,windows,10,2.2  ,0,0,100.45466986113651,Intel Core i5,0,256,Intel,52786.74
210,Acer,Notebook,8,Other OS/No OS/Linux,0,2.4  ,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia,68879.18000000001
211,Asus,Gaming,16,windows,10,2.9  ,0,0,127.33567457123111,Intel Core i7,1000,256,Nvidia,124406.94
212,HP,Notebook,4,Other OS/No OS/Linux,0,2.1  ,0,0,141.21199808219862,Intel Core i3,500,0,Intel,30858.58
213,Lenovo,Notebook,8,Other OS/No OS/Linux,0,2.2  ,0,0,141.21199808219862,Intel Core i5,0,256,Intel,48542.58
214,Huawei,Ultrabook,8,windows,10,1.05  ,0,1,199.69207064108247,Intel Core i7,0,512,Intel,132541.58000000002
215,Dell,Ultrabook,8,windows,10,1.4  ,0,1,165.6321180513006,Intel Core i7,0,256,AMD,82396.8296
216,Lenovo,Notebook,8,Other OS/No OS/Linux,0,2.8  ,0,0,106.11306214269258,Intel Core i5,1000,0,Nvidia,52079.38
217,HP,Notebook,8,windows,10,1.63  ,0,0,157.3505121487356,Intel Core i7,0,256,Nvidia,91161.02
218,Dell,Ultrabook,8,windows,10,1.6  ,0,0,157.3505121487356,Intel Core i5,0,256,Intel,101594.58
219,Dell,2 in 1 Convertible,16,windows,10,1.62  ,1,0,165.6321180513006,Intel Core i7,0,512,Intel,113089.18000000001
220,Dell,Notebook,8,Other OS/No OS/Linux,0,2.2  ,0,0,141.21199808219862,Intel Core i5,0,256,AMD,59891.287000000004
221,Lenovo,2 in 1 Convertible,8,windows,10,1.74  ,0,1,157.3505121487356,Intel Core i5,0,256,Intel,79489.58
222,Toshiba,Ultrabook,8,windows,10,1.2  ,0,0,165.6321180513006,Intel Core i7,0,256,Intel,120516.46
223,HP,Notebook,8,windows,10,2.1  ,0,0,141.21199808219862,Intel Core i5,1000,0,Intel,70205.48
224,Dell,Gaming,16,windows,10,4.42  ,0,1,127.33567457123111,Intel Core i7,1000,256,Nvidia,217189.5828
225,Acer,Notebook,8,windows,10,2.2  ,0,0,141.21199808219862,Intel Core i7,0,256,Nvidia,73565.44
